order#,id#,year,electionyr,house,newspaper,date_publ,date_notes,electiondate,date1,date2,date3,overlap_days,overlap_bin,overlap_drop,daysbefore,checkorder,sample,m_likelihood,method_face,m_phone,m_rolling,m_panel,m_internet,m_pastvote,m_partyid,vote_con,vote_lab,vote_lib,vote_oth,vote_total,h_gallup,h_gallup9000,h_nop,h_mori1,h_mori2,h_icm,h_harris1,h_harris2,h_comres,h_populus,h_populus2,h_orb,h_rasm,h_yougov1,h_yougov2,h_bpix,h_nmr,h_angusr,h_opinium,h_tns,h_bizdec,h_orc,h_rsl,h_asl,h_ashcroft,source,vote_ukip,vote_bnp,vote_green,vote_swn,vote_grn,,,,,,,,,,,,,,
15,,2012,,Opinium,,,3_5 Jan,,1/3/12,1/4/12,1/5/12,,,,,,1963,,,,,,,,,36,37,9,18,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-5th-january,7,2,4,5,4,,Opinium,,1/3/12,1/4/12,1/5/12,0,,http://news.opinium.co.uk/survey-results/voting-intention-5th-january,7,2,4,5,
16,,2012,,Opinium,,,13_15 Jan,,1/13/12,1/14/12,1/15/12,,,,,,1983,,,,,,,,,37,37,9,18,101,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-13th-january,6,2,4,5,4,,Opinium,,1/13/12,1/14/12,1/15/12,0,,http://news.opinium.co.uk/survey-results/voting-intention-13th-january,6,2,4,5,
17,,2012,,Opinium,,,27_30 Jan,,1/27/12,1/28/12,1/30/12,,,,,,1958,,,,,,,,,38,36,8,18,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-27th-january,6,1,4,4,4,,Opinium,,1/27/12,1/28/12,1/30/12,0,,http://news.opinium.co.uk/survey-results/voting-intention-27th-january,6,1,4,4,
18,,2012,,Opinium,,,10_13 Feb,,2/10/12,2/11/12,2/13/12,,,,,,1960,,,,,,,,,36,36,10,18,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-10th-february,7,2,4,5,4,,Opinium,,2/10/12,2/11/12,2/13/12,0,,http://news.opinium.co.uk/survey-results/voting-intention-10th-february,7,2,4,5,
19,,2012,,Opinium,,,21_23 Feb,,2/21/12,2/22/12,2/23/12,,,,,,1959,,,,,,,,,35,39,10,19,103,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-21st-february,6,1,5,5,5,,Opinium,,2/21/12,2/22/12,2/23/12,0,,http://news.opinium.co.uk/survey-results/voting-intention-21st-february,6,1,5,5,
20,,2012,,Opinium,,,9_12 Mar,,3/9/12,3/10/12,3/12/12,,,,,,1955,,,,,,,,,38,36,10,16,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://news.opinium.co.uk/survey-results/voting-intention-9th-march,7,2,3,3,3,,Opinium,,3/9/12,3/10/12,3/12/12,0,,http://news.opinium.co.uk/survey-results/voting-intention-9th-march,7,2,3,3,
21,,2012,,Survation,,,2_9 Nov,,11/2/11,11/5/11,11/9/11,,,,,,1058,,,,,,,,,38,39,12,11,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://survation.com/wp-content/uploads/2011/11/Survation-Pension-Poll-for-UNITE-Methodology-Crosstabs.pdf,4,1,1,4,,,Survation,,11/2/11,11/5/11,11/9/11,0,,http://survation.com/wp-content/uploads/2011/11/Survation-Pension-Poll-for-UNITE-Methodology-Crosstabs.pdf,4,1,1,4,
22,,2012,,Survation,Daily Star,,23_25 Nov,,11/23/11,11/24/11,11/25/11,,,,,,1002,,,,,,,,,32,34,12,22,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://survation.com/wp-content/uploads/2011/11/Day-of-Action-Methodology-Crosstabs.pdf,11,2,5,5,,,Survation,Daily Star,11/23/11,11/24/11,11/25/11,0,,http://survation.com/wp-content/uploads/2011/11/Day-of-Action-Methodology-Crosstabs.pdf,11,2,5,5,
23,,2012,,Survation,Mail on Sunday,,9_10 Dec,,12/9/11,12/9/11,12/10/11,,,,,,1020,,,,,,,,,35,35,14,16,100,,,,,,,,,,,,,,,,,,,,,,,,,,http://survation.com/wp-content/uploads/2011/12/EU-Summit-Poll-Methodology-and-Crosstabulations.pdf,9,1,3,3,,,Survation,Mail on Sunday,12/9/11,12/9/11,12/10/11,0,,http://survation.com/wp-content/uploads/2011/12/EU-Summit-Poll-Methodology-and-Crosstabulations.pdf,9,1,3,3,
24,,2015,,Populus,,,5_7 May,,5/5/15,5/6/15,5/7/15,,,,,,3917,,,,,,,,,34,34,9,24,101,,,,,,,,,,,,,,,,,,,,,,,,,,Populus,13,,5,,,,,,,,,,,,,,,,
